CustomerID,LastPurchaseDate,Recency,Frequency,Monetary,Cluster,CustomerSegment
12346.0,2011-01-18 10:01:00,325,1,77183.6,3,Potential Loyal Customers
12347.0,2011-12-07 15:52:00,1,7,4310.0,0,Regular Customers
12348.0,2011-09-25 13:13:00,74,4,1797.24,0,Regular Customers
12349.0,2011-11-21 09:51:00,18,1,1757.55,0,Regular Customers
12350.0,2011-02-02 16:01:00,309,1,334.4,1,Inactive Customers
12352.0,2011-11-03 14:37:00,35,8,2506.04,0,Regular Customers
12353.0,2011-05-19 17:47:00,203,1,89.0,1,Inactive Customers
12354.0,2011-04-21 13:11:00,231,1,1079.4,1,Inactive Customers
12355.0,2011-05-09 13:49:00,213,1,459.4,1,Inactive Customers
12356.0,2011-11-17 08:40:00,22,3,2811.43,0,Regular Customers
12357.0,2011-11-06 16:07:00,32,1,6207.67,0,Regular Customers
12358.0,2011-12-08 10:26:00,1,2,1168.06,0,Regular Customers
12359.0,2011-10-13 12:47:00,57,4,6372.58,0,Regular Customers
12360.0,2011-10-18 15:22:00,51,3,2662.06,0,Regular Customers
12361.0,2011-02-25 13:51:00,286,1,189.9,1,Inactive Customers
12362.0,2011-12-06 15:40:00,2,10,5226.23,0,Regular Customers
12363.0,2011-08-22 10:18:00,109,2,552.0,0,Regular Customers
12364.0,2011-12-02 10:22:00,7,4,1313.1,0,Regular Customers
12365.0,2011-02-21 14:04:00,290,2,641.38,1,Inactive Customers
12367.0,2011-12-05 16:48:00,3,1,168.9,0,Regular Customers
12370.0,2011-10-19 14:51:00,50,4,3545.69,0,Regular Customers
12371.0,2011-10-26 10:16:00,44,2,1887.96,0,Regular Customers
12372.0,2011-09-29 12:12:00,71,3,1298.04,0,Regular Customers
12373.0,2011-02-01 13:10:00,310,1,364.6,1,Inactive Customers
12374.0,2011-11-14 15:37:00,24,1,742.9300000000001,0,Regular Customers
12375.0,2011-11-29 10:36:00,10,2,457.5,0,Regular Customers
12377.0,2011-01-28 15:45:00,314,2,1628.12,1,Inactive Customers
12378.0,2011-08-02 10:34:00,129,1,4008.62,0,Regular Customers
12379.0,2011-09-19 10:09:00,81,2,852.24,0,Regular Customers
12380.0,2011-11-18 11:27:00,21,4,2724.81,0,Regular Customers
12381.0,2011-12-05 12:44:00,4,5,1845.31,0,Regular Customers
12383.0,2011-06-08 08:02:00,184,5,1850.56,1,Inactive Customers
12384.0,2011-11-11 08:39:00,28,2,585.27,0,Regular Customers
12386.0,2011-01-06 12:37:00,337,2,401.9,1,Inactive Customers
12388.0,2011-11-24 12:30:00,15,6,2780.66,0,Regular Customers
12390.0,2011-09-21 09:33:00,79,1,549.84,0,Regular Customers
12391.0,2011-11-18 12:07:00,21,1,460.89,0,Regular Customers
12393.0,2011-09-28 15:41:00,71,4,1582.6000000000001,0,Regular Customers
12394.0,2011-10-07 08:08:00,63,2,1272.48,0,Regular Customers
12395.0,2011-11-20 15:21:00,18,12,3018.63,0,Regular Customers
12397.0,2011-11-04 09:52:00,35,2,2409.9,0,Regular Customers
12398.0,2011-10-25 10:27:00,45,1,1635.6599999999999,0,Regular Customers
12399.0,2011-08-12 13:15:00,118,4,1108.65,0,Regular Customers
12401.0,2011-02-09 13:50:00,302,1,84.3,1,Inactive Customers
12402.0,2011-01-20 13:49:00,322,1,225.6,1,Inactive Customers
12403.0,2011-10-21 10:51:00,49,1,427.7,0,Regular Customers
12405.0,2011-07-14 08:52:00,148,1,1710.39,1,Inactive Customers
12406.0,2011-11-17 19:22:00,21,2,3415.3,0,Regular Customers
12407.0,2011-10-21 10:11:00,49,5,1708.1200000000001,0,Regular Customers
12408.0,2011-11-07 12:27:00,32,5,2888.55,0,Regular Customers
12409.0,2011-09-22 10:38:00,78,3,11072.67,0,Regular Customers
12410.0,2011-02-04 10:39:00,308,2,693.3299999999999,1,Inactive Customers
12412.0,2011-09-26 10:16:00,74,3,1226.88,0,Regular Customers
12413.0,2011-10-04 09:00:00,66,3,758.1,0,Regular Customers
12414.0,2011-05-06 14:51:00,216,3,562.41,1,Inactive Customers
12415.0,2011-11-15 14:22:00,23,21,124914.53,2,VIP Customers
12417.0,2011-12-06 14:52:00,2,9,3649.1,0,Regular Customers
12418.0,2011-08-19 11:08:00,112,1,668.58,0,Regular Customers
